Ціна оренди (грн),Ціна оренда (usd),Місто,Район,Мікрорайон,Метро,Вулиця,Номер будинку,Назва ЖК,Загальна площа,Житлова площа,Площа кухні,Поверх,Всього поверхів,Кімнат,Тип стін,Кількість фото,Студія,Спальні місця,Широта,Довгота,Дата,Посилання,Опис,Спокійний район,Тихий двір,Поруч з парком,Новий ремонт,У центрі,Можна з тваринами,Поруч з метро,Кухня-студія,Територія охороняється,Гарний краєвид,Престижний район,Тип пропозиції,Комуналка взимку,Комуналка влітку,Рік побудови,Тварини (опис),Комісія,Тип стіни (опис),Опалення,Підігрів води,Приміщення,Зручності,Розташування,Планування,Ліфт,Агенство
8 000,193,Харків,Новобаварський,Нова Баварія,Холодна гора,вул. Свинаренка Петра,20,,53.0,40.0,8.0,6,10,2,кирпич,13,0,4.0,49.95033118,36.16161041,2024-06-11,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-novaya-bavariya-svinarenko-petra-ulitsa-31327607.html,"Сдам свою 2 кімнатну квартиру на Новій Баварії, по вул. Свінаренка, 20. Квартира знаходиться на 6 поверсі 10 поверхового будинку. Загальна площа 53 м2, житлова 40 м2, кухня 8 м2. Стан: житловий, кімнати роздільні, є меблі та необхідна побутова техніка. Під'їзд з ремонтом, новий ліфт. Поруч вся необхідна інфраструктура: зупинка громадського транспорту, супермаркети, школи, дитячі садки та озеро. Ріелторам не турбувати.",1,0,0,0,0,0,0,0,0,0,0,Пропозиція від власника,2500.0,1500.0,,0,0,цегли,централізоване,бойлер,кількість спалень: 1|роздільний санвузол,лічильник на електрику|лічильник на газ|лічильник на воду|кондиціонер,тип двору: внутрішній,балкон/лоджія,немає ліфта,
9 000,218,Харків,Шевченківський,,Ботанічний сад,пров. Отакара Яроша,20 корпус 1,ЖК Ультра,48.2,36.0,7.0,5,23,2,монолитно-каркасный,13,0,,50.024543,36.21797772,2024-06-10,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-otakara-yarosha-pereulok-31686551.html,"Здається в оренду 2-х.кімн.квартира у ЖК Ультра. метро Ботанічний Сад. Кімнати окремі: велика спальня з кондиціонером та вітальня з диваном. Великий санвузол: ванна, бойлер, дві сушки для речей. 

Вікна з бронеплівкою. Вікна цілі!. 

У будинку 5 ліфтів ( один з них пожежний), цілодобова охорона, є паркінг. 
Встановлені автомати на електрику,  газу немає, варочна панель електро. 

Є посуд та всі необхідні побутові речі.  
Хатні тваринки обговорюються. Телефонуйте!",0,0,1,0,0,0,0,0,1,0,0,Пропозиція від посередника,,,2010.0,0,Комісія за послуги 50 %,,централізоване,централізований|бойлер,суміжний санвузол,Wi-Fi|телевізор|праска|пральна машина|сушарка для білизни|ванна|електрочайник|електрична плита|мікрохвильова піч|шафа-гардероб|диван|фен|кондиціонер|витяжка|письмовий стіл|пилосос|двоспальне ліжко,тип двору: прохідний,панорамні / вітринні вікна,пасажирський ліфт|вантажний ліфт,АН Город
6 000,145,Харків,Шевченківський,,Олексіївська,вул. Енвера Ахсарова,4/6Б,,50.0,19.0,15.0,4,10,1,кирпич,8,0,,50.049671,36.196811,2024-06-09,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-envera-ahsarova-ulitsa-31668171.html,"Сдам реальную 1 кв новострой метро Алексеевская 6мин пешком евроремонт ул.Ахсарова 4\6Б кирпич 4\9 50 кв м спальня и кухня-студия .2-х спальная кровать . диван шкаф-купе, кондиционер, СМА . МПО, бронепленка на окнах, свободная. Звоните",1,0,0,0,0,0,0,0,1,0,0,Пропозиція від посередника,,,2017.0,0,Комісія за послуги 50 %,цегли,,централізований|бойлер,,Wi-Fi|телевізор|обідня зона|праска|пральна машина|посудомийна машина|ванна|електрочайник|газова плита|духова шафа|мікрохвильова піч|шафа-гардероб|диван|холодильник|лічильник на електрику|лічильник на газ|лічильник на воду|кондиціонер|витяжка|письмовий стіл|пилосос|фільтр для води|кабельне ТБ|двоспальне ліжко,тип двору: внутрішній,балкон/лоджія,пасажирський ліфт|вантажний ліфт,
2 300,56,Харків,Київський,Салтівка,Героїв праці,вул. Бучми,6,,33.0,17.0,7.0,6,9,1,панель,13,0,,50.029687,36.34268,2024-06-09,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-buchmy-ulitsa-31696061.html,"Сдам в аренду 1к квартиру на Салтовке рядом с метро. Аккуратное жилое состояние, необходимая мебель, холодильник, стиральная машина, телевизор, газовая печь. Плитка в кухне и санузле. сантехника в отличном состоянии. Тамбур на 2 квартиры . 6й этаж. Чистый отремонтированный подъезд, хорошие соседи. 2300 + коммуналка",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,Комісія за послуги 50 %,панелей,централізоване,централізований,суміжний санвузол,телевізор|пральна машина|ванна|газова плита|диван|холодильник|лічильник на електрику|додаткові меблі за домовленістю|письмовий стіл|кабельне ТБ,тип двору: внутрішній,,пасажирський ліфт,
2 000,48,Харків,Шевченківський,Олексїївка,Перемога,просп. Перемоги,64,,33.0,17.0,7.0,12,12,1,,5,0,2.0,50.061224,36.20473,2024-06-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-alekseevka-pobedy-prospekt-31693376.html,"Сдам 1-к квартиру на Алексеевке, 3 минуты ходьбы от м.Победы. В квартире сделан косметический ремонт, металлпластиковые окна. В доме два лифта. Из техники есть только холодильник холодильник. Рядом с домом большой супермаркет Рост, много магазинов, киосков. Очень хороший, тихий район. Интернет проведён.",1,0,0,0,0,0,1,0,0,1,0,Пропозиція від посередника,,,,0,0,,централізоване,централізований,кількість спалень: 1,Wi-Fi|ванна|холодильник|лічильник на електрику,тип двору: внутрішній,балкон/лоджія,пасажирський ліфт|вантажний ліфт,
7 000,169,Харків,,,Наукова,вул. Професора Отамановського(Коломенська),4,ЖК Магістр,32.0,17.0,2.0,9,16,1,керамический блок,11,0,2.0,50.01580445,36.23206878,2024-06-07,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-profesora-otamanovskogo-kolomenskaya-ulitsa-31552863.html,"Сдам в аренду 1-к. квартиру с евроремонтом в новострое ЖК Магистр, в 2 минутах ходьбы от м.Научная, ул. Коломенская, 4.
В квартире сделан ремонт из качественных, дорогих материалов, так как делался для себя. Квартира полностью укомплектована всей новой, современной мебелью и техникой, всё абсолютно новое. В ванной комнате тёплый пол, дорогая сантехника, есть бойлер, на случай отключения горячей воды, кондиционер, посудомоечная машина, новый смарт-тв Samsung, много шкафов для одежды. Новое постельное бельё, посуда. Заходи и живи!!!
Рядом с домом находятся крупные супермаркеты, сад Шевченко, магазины, спортивные клубы, развлекательные комплексы, хорошо развита инфраструктура района, не далеко парк Горького. Интернет проведён.",1,0,0,0,1,0,1,0,0,0,0,Пропозиція від посередника,,,2021.0,0,0,керамічного блоку,централізоване,централізований|бойлер,кількість спалень: 1,Wi-Fi|телевізор|посудомийна машина|лічильник на електрику|лічильник на воду|кондиціонер,"тип двору: закритого типу (вхід, в'їзд обмежений)",підігрів підлоги|балкон/лоджія,пасажирський ліфт|вантажний ліфт,
2 500,60,Харків,Шевченківський,Олексїївка,Перемога,просп. Перемоги,75,,34.0,17.0,7.0,1,12,1,,7,0,3.0,50.067866,36.208575,2024-06-07,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-alekseevka-pobedy-prospekt-31567316.html,"Сдам 1-к квартиру на Алексеевке, в пешей доступности от м.Победа. Квартира в хорошим косметическим ремонт, два раздельных спальных места, большой холодильник, стиральная машина автомат. Рядом с домом остановка транспорта, недалеко супермаркет Рост, Класс, рынок. Очень хороша транспортная развязка. Тихий, спокойный район. Отдельно нужно оплачивать ком.услуги.",1,1,0,0,0,0,0,0,0,0,1,Пропозиція від посередника,,,,0,0,,централізоване,централізований,кількість спалень: 1,Wi-Fi|пральна машина|ванна|холодильник|лічильник на електрику,,балкон/лоджія,пасажирський ліфт,
3 000,73,Харків,Київський,,Героїв праці,вул. Саперна,10,,51.0,,,12,16,2,,12,0,,50.0299038,36.29421806,2024-06-07,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovka-sapernaya-ulitsa-31675629.html,Довгострокова оренда 2кв квартири ! Дві роздільні кімнати.Двоспальне ліжко і диван.Пральна машина.Бойлер.Посуд та все інше.Гарний двір з дитячим  та баскетбольним майданчиками.Метро   Героїв Праці  пішки 15хв.Зупинки трамвая і автобуса поруч з будинком.,1,0,0,0,0,0,0,0,0,1,0,Пропозиція від посередника,,,,0,Комісія за послуги 50 %,,централізоване,бойлер,,пральна машина|диван,,,немає ліфта,
3 500,85,Харків,Шевченківський,,Перемога,просп. Людвіга Свободи,37,,50.0,30.0,9.0,11,16,2,панель,12,0,,50.054205652834895,36.20381227539076,2024-06-07,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-lyudviga-svobody-prospekt-31685702.html,"Сдам 2 комнатную квартиру на Алексеевке, пр.Л.Свободы, 37. До м.Алексеевская 3 минуты. 
Квартира в хорошем жилом состоянии!
Две лоджии застеклены, сан узел совмещен.
Укомплектована мебелью и техникой!
Техника: холодильник, стиральная машина автомат, телевизор, бойлер!",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,2000.0,600.0,,0,Комісія за послуги 50 %,панелей,,,,,тип двору: внутрішній,,немає ліфта,АН Город
5 000,121,Харків,Київський,,Героїв праці,вул. Героїв Праці,4Г,,67.0,,36.0,3,9,3,панель,11,0,,50.018633,36.36466,2024-06-06,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-kievskiy-geroev-truda-ulitsa-31677317.html,,0,0,0,0,0,0,0,0,0,0,0,Пропозиція від власника,3900.0,1500.0,,0,0,панелей,централізоване,централізований,суміжний санвузол,лічильник на електрику|лічильник на газ|лічильник на воду,тип двору: внутрішній,балкон/лоджія,немає ліфта,
8 500,206,Харків,Шевченківський,,Перемога,просп. Перемоги,65Г корпус 1,ЖК Черемушки,35.0,,,2,18,1,газоблок,7,0,,50.06282874974164,36.20424323335038,2024-06-06,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-pobedy-prospekt-31682714.html,Сдам 1к квартиру на Алексеевке,0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,2016.0,0,0,газоблоку,,,,,тип двору: внутрішній,,немає ліфта,АН Город
4 500,109,Харків,Немишлянський,,Академіка Барабашова,просп. Тракторобудівників,48,,44.0,,12.0,2,2,1,кирпич,8,0,2.0,49.98361016,36.34185445,2024-06-05,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-nemyshlyanskiy-traktorostroiteley-prospekt-27965891.html,"Здам одна кімнатну квартиру - пр Тракторобудівників -48 - другий поверх -біля будинку паркування з відео спостереженням безкоштовна -у квартирі пральна машина - плоский телевізор - холодильник - мікрохвильова піч - система очищення питної води Осмос (Америка) - інтернет Тріолан - бойлер -душова кабіна - велике двоспальне ліжко - є можливість дати вам ще одне не велике ліжко - комод шафа -система рекуперації повітря - домофон - поруч пляж озеро минулого року місто повністю реконструювало пляж - майже європейського рівня - у квартирі все справно має гідний вигляд - курити категорично тільки в курилці в під'їзді я господар даної квартири - не агенція
-вартість 4500 гривень плюс до цієї суми оплата за електрику - інтернет та воду (опалення у вартість входить)",0,0,1,1,0,0,0,0,0,0,0,Пропозиція від власника,,,2016.0,1,0,цегли,автономна котельня,бойлер,засклених лоджій: немає|кількість спалень: 1|суміжний санвузол,Wi-Fi|телевізор|плазмовий телевізор|праска|пральна машина|сушарка для білизни|душова кабіна|електрична плита|мікрохвильова піч|система очищення питної води|шафа-гардероб|Вбудована кухня|холодильник|лічильник на електрику|лічильник на воду|охоронна сигналізація|пожежна сигналізація|відеонагляд|витяжка|ліжко|кабельне ТБ,,,немає ліфта,
5 500,133,Харків,Немишлянський,,Академіка Барабашова,просп. Тракторобудівників,48,,58.0,,12.0,2,2,2,кирпич,11,1,,49.98361016,36.34185445,2024-06-05,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-nemyshlyanskiy-traktorostroiteley-prospekt-27966565.html,"здам упорядковану двокімнатну квартиру студію на 2 поверсі, в квартирі є бойлер з програматором, електро плита, мікрохвильова піч, пральна машина, станція з очищення питної води Осмос, кондиціонер, плоский телевізор, великий розкладний диван, двоспальне ліжко, комод, шафа, кухо, домофон, рекуперація вентиляція приміщення, на введенні електрики встановлені стабілізатори струму, навколо будинку цілодобова безкоштовна парковка з відео спостереженням, ціна 5500 плюс до цієї суми оплата за спожиту електрику та воду за лічильниками, у квартирі категорично не палити ) опалення включено у вартість",0,0,0,1,0,0,0,0,0,0,0,Пропозиція від власника,,,2016.0,1,0,цегли,автономна котельня,бойлер,засклених лоджій: немає|кількість спалень: 1|суміжний санвузол,Wi-Fi|телевізор|плазмовий телевізор|пральна машина|сушарка для білизни|електрична плита|мікрохвильова піч|система очищення питної води|шафа-гардероб|Вбудована кухня|диван|холодильник|лічильник на електрику|лічильник на воду|охоронна сигналізація|пожежна сигналізація|відеонагляд|кондиціонер|витяжка|ліжко|витяжний вентилятор|кабельне ТБ,,,немає ліфта,
5 500,133,Харків,Салтівський,,Академіка Барабашова,вул. Гвардійців-Широнінців,21,,44.0,,8.0,1,9,1,панель,8,0,,49.999366,36.328378,2024-06-05,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-vadeyevioninev-lia-27951532.html,квартира сделано под себя,0,0,0,1,0,0,0,0,0,1,0,Пропозиція від власника,,,,1,0,панелей,,бойлер,суміжний санвузол,Wi-Fi|плазмовий телевізор|пральна машина|сушарка для білизни|душова кабіна|електрична плита|мікрохвильова піч|шафа-гардероб|Вбудована кухня|лічильник на газ|лічильник на воду|кондиціонер|ліжко|кабельне ТБ,тип двору: внутрішній,балкон/лоджія,немає ліфта,
6 500,157,Харків,Шевченківський,,Олексіївська,вул. Енвера Ахсарова,1,,54.0,,,9,16,3,панель,6,0,,50.0511683359199,36.19609652048308,2024-06-05,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-envera-ahsarova-ulitsa-31669480.html,Сдам 3к квартиру на Алексеевке. Косметический ремонт. Окна и сантехника поменяны. Из мебели и техники есть все необходимое для проживания. Можно с животными. Квартира свободна. Показы по договоренности.,1,0,0,0,0,0,0,0,0,0,1,Пропозиція від посередника,,,,0,0,панелей,,,,,тип двору: внутрішній,,немає ліфта,АН Город
6 500,157,Харків,Шевченківський,,Олексіївська,вул. Енвера Ахсарова,1,,65.0,35.0,9.0,9,16,3,панель,12,0,,50.05126590462032,36.19598099564283,2024-06-05,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-envera-ahsarova-ulitsa-31618726.html,"Сдам 3 комнатную квартиру на Алексеевке, ул.Ахсарова, 1.
Дом расположен на пересечении пр.Победы и ул.Ахсарова.
Квартира с косметическим ремонтом. Сан узел и кухня капитальный ремонт.
Встроенная кухня. Варочная поверхность+духовка. Микроволновая печь, холодильник.
Стиральная машина автомат, бойлер.
Квартира укомплектована необходимой мебелью.
Комнаты раздельные.",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,панелей,,бойлер,,пральна машина|духова шафа|мікрохвильова піч|холодильник,тип двору: внутрішній,,немає ліфта,АН Город
6 500,157,Харків,Шевченківський,,Перемога,просп. Перемоги,59,ЖК проспект Перемоги,42.0,,,6,16,1,кирпич,5,0,,50.05884773256071,36.1994734830208,2024-06-05,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-pobedy-prospekt-31669053.html,Сдам 1к квартиру на Алексеевке. Капитальный ремонт. Из мебели и техники есть все необходимое для проживания. Все новое и современное. Развита инфраструктура. Отличная транспортная развязка. Дополнительные платежи + все по квитанции на 1го прописанного. Можно с небольшими животными. Квартира свободна. Показы в любое удобное время.,0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,2017.0,0,0,цегли,,,,,тип двору: внутрішній,,немає ліфта,АН Город
22 743,550,Харків,Новобаварський,,Холодна гора,вул. Дудинської,9,,100.0,99.0,23.0,2,10,3,кирпич,8,0,,49.97668325,36.18323963,2024-06-04,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-novobavarskiy-dudinskoy-ulitsa-31640206.html,"З находится у тихому районі, окремий затишний двір під охороною. Бомбосховище в будинку.",1,0,0,0,0,0,0,0,0,0,0,Пропозиція від власника,2500.0,1000.0,2010.0,0,0,цегли,індивідуальне газове|двоконтурний котел,двоконтурний котел,2 санвузла,Wi-Fi|телевізор|праска|пральна машина|посудомийна машина|ванна|електрочайник|газова плита|духова шафа|мікрохвильова піч|шафа-гардероб|диван|холодильник|лічильник на електрику|лічильник на газ|лічильник на воду|фен|кондиціонер|витяжка|пилосос|супутникове ТБ|двоспальне ліжко,"тип двору: закритого типу (вхід, в'їзд обмежений)",підігрів підлоги|балкон/лоджія,пасажирський ліфт,
12 000,290,Харків,Новобаварський,,Холодна гора,вул. Паращука Юрія,7,,67.0,66.0,10.0,2,10,3,кирпич,5,0,,49.97920239,36.1842842,2024-06-04,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-novobavarskiy-paraschuka-yuriya-ulitsa-31640241.html,"Квартира з капітальним  ремонтом 2022 року, перша здача. У будинку є укриття. Квартира дуже тепла та світла.
Початок сдачі 10серпня",1,0,0,0,0,0,0,1,0,0,0,Пропозиція від власника,2500.0,1000.0,2000.0,0,0,цегли,централізоване,централізований|бойлер,суміжний санвузол,Wi-Fi|телевізор|праска|пральна машина|посудомийна машина|ванна|електрочайник|газова плита|духова шафа|мікрохвильова піч|шафа-гардероб|диван|холодильник|лічильник на електрику|лічильник на воду|фен|витяжка|двоспальне ліжко,тип двору: внутрішній,балкон/лоджія,пасажирський ліфт,
6 000,145,Харків,Шевченківський,,Ботанічний сад,вул. Сергія Єсеніна,10,,33.0,18.0,8.0,3,5,1,кирпич,18,1,2.0,50.030357,36.22735,2024-06-03,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-sergeya-esenina-ulitsa-31647621.html,Затишна квартира-студія біля Саржин Яр. До метро Бот Сад 5 хвилин пішки. Оренда від 6 місяців. Без тварин.,0,0,1,0,1,0,1,0,0,0,0,Пропозиція від власника,1000.0,400.0,1969.0,0,0,цегли,централізоване,бойлер,кількість спалень: 1|суміжний санвузол,Wi-Fi|ванна|газова плита|шафа-гардероб|Вбудована кухня|диван|лічильник на електрику|лічильник на воду|ліжко|супутникове ТБ,тип двору: внутрішній,балкон/лоджія,немає ліфта,
6 500,157,Харків,Шевченківський,Центр,Університет,вул. Бориса Чичибабіна,,,65.0,45.0,8.0,1,4,3,,11,0,8.0,50.0055818,36.2225976,2024-06-02,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-tsentr-borisa-chichibabina-ulitsa-31554760.html,"Сдам 3-к квартиру с хорошим ремонтом в центре города, ул.Чичибабина. Комнаты все раздельные, в квартире есть вся необходимая мебель и техника. В квартире газовая печь и газовая колонка, всегда будет горячая вода. Хороший, престижный район. Рядом с домом сад Шевченка, кафе, магазины. м.Университет в 5-ти минутах ходьбы, также рядом с домом есть продуктовый магазин. Хорошие соседи, интернет проведён.",0,0,0,0,1,0,1,0,0,0,1,Пропозиція від посередника,,,,0,0,,централізоване,комбинированный: колонка|колонка,,Wi-Fi|лічильник на електрику|лічильник на газ|лічильник на воду,тип двору: прохідний,,немає ліфта,
5 000,121,Харків,Немишлянський,,,просп. Героїв Харкова(Московський),250В,,32.0,17.0,7.0,9,12,1,кирпич,9,0,,49.95658479363621,36.35544633264957,2024-05-31,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-nemyshlyanskiy-geroev-harkova-moskovskiy-prospekt-31542174.html,"Об'єкт SL-226407
АдресаНовые Дома, проспект Героїв Харкова 250В
Кількість кімнат 1
Тип об'єкту квартира
Тип будівлі типова панель
Тип стін панель
Площа 32м2 / 17м2 / 7м2
Поверх / Поверховість 9 / 12
Планування 1 спальня
Ремонт косметичний
Опалення централізоване
Санвузол роздільний, ванна",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,Агенція нерухомості SoftLoft 
4 000,97,Харків,Шевченківський,,Олексіївська,вул. Енвера Ахсарова,15А,,38.0,19.0,9.0,6,16,1,панель,8,0,,50.050538054873385,36.21103500140015,2024-05-31,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-envera-ahsarova-ulitsa-31645919.html,"Сдам 1 комнатную квартиру на Алексеевке, ул.Ахсарова, 15А. От м.Алексеевская 2 минуты.
Квартира с хорошим косметическим ремонтом. МПО. Сан узел плитка.
Укомплектована мебелью и техникой!",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,панелей,,,,,тип двору: внутрішній,,немає ліфта,АН Город
7 000,169,Харків,Салтівський,,,вул. Героїв Праці,28,,70.0,47.0,8.0,5,9,3,кирпич,17,0,,50.02255964,36.33841895,2024-05-31,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-geroev-truda-ulitsa-30820882.html,"Об'єкт SL-048401
АдресаСалтовка, вулиця Героїв Праці 28
Кількість кімнат 3
Тип об'єкту квартира
Тип будівлі вторинне
Тип стін панель
Площа 70м2 / 47м2 / 8м2
Поверх / Поверховість 5 / 9
Планування кухня-вітальня, 2 спальні
Ремонт капітальний ремонт
Санвузол поєднаний
Доступно для орендарів з тваринами, з дітьми",0,0,0,0,0,1,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,балкон (и): 2,телевізор|пральна машина|газова плита|духова шафа|мікрохвильова піч,,,,Агенція нерухомості SoftLoft 
5 000,121,Харків,Шевченківський,,Перемога,вул. Домобудівельна,5,ЖК Архітекторів,40.0,25.0,10.0,2,6,1,,12,0,,50.07129594,36.20862326,2024-05-30,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-domostroitelnaya-ulitsa-31532443.html,"1-ком с балконом в новострое 2/6 ЖК Архитекторов, ул.Домостроительная, 5.
Укомплектована необходимой мебелью и техникой.
Стильная светлая и теплая!
Аренда 5тыс.грн.+комуналка.",0,0,1,0,0,0,0,0,0,1,0,Пропозиція від посередника,,,2015.0,0,Комісія за послуги 5 %,,,,,,тип двору: внутрішній,,немає ліфта,АН Город
4 000,97,Харків,Салтівський,,Героїв праці,вул. Академіка Павлова,140В,,36.0,20.0,8.0,2,9,1,панель,11,0,,50.01904002,36.33411085,2024-05-30,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-akademika-pavlova-ulitsa-31632549.html,"Квартира з кап.ремонтом, піша хода до метро, 2 спальних місця, укомплектована меблями та технікою. Додатково оплачується світло та вода на 1 особу",1,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,700.0,700.0,1979.0,0,Комісія за послуги 50 %,панелей,централізоване,,суміжний санвузол,Wi-Fi|телевізор|пральна машина|ванна|електрочайник|газова плита|мікрохвильова піч|шафа-гардероб|диван|холодильник|лічильник на електрику|витяжка|письмовий стіл|кабельне ТБ|односпальне ліжко,тип двору: внутрішній,балкон/лоджія,пасажирський ліфт,
5 500,133,Харків,Київський,Салтівка,Героїв праці,вул. Героїв Праці,,,33.0,17.0,7.0,7,12,1,,7,0,2.0,50.02482914,36.32866012,2024-05-30,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovka-geroev-truda-ulitsa-31630671.html,"Сдам 1-к квартиру на Салтовке, рядом с м. Героев Труда. В квартире сделан капитальный ремонт, находится на среднем этаже, делали всё для себя. Квартира светлая, уютная, в бело-бежевых тонах. Мебель и техника вся современная. Смарт-ТВ, кондиционер, работает как на охлаждение, так и на обогрев. Установлен бойлер, на случай отключения горячей воды. Через дорогу находится большой торговый центр Дафи, большой продуктовый рынок, не далеко супермаркет Рост, много магазинчиков, в пешей доступности сосновый бор, водохранилище. Интернет проведён, есть роутер. Хорошая транспортная развязка. Коммунальные услуги уже включены в стоимость аренды.",1,1,0,0,0,0,1,0,0,0,0,Пропозиція від посередника,,,,0,0,,централізоване,централізований|бойлер,засклених лоджій: немає|кількість спалень: 1|гараж: немає|суміжний санвузол,Wi-Fi|телевізор|ванна|газова плита|Вбудована кухня|лічильник на електрику|кондиціонер|супутникове ТБ,,балкон/лоджія,пасажирський ліфт|немає ліфта,
3 000,73,Харків,Шевченківський,,Перемога,просп. Перемоги,62Б,,37.0,17.0,7.0,9,9,1,,7,0,,50.0598574,36.20529357,2024-05-29,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-pobedy-prospekt-31623510.html,"Сдам 1 комнатную квартиру на Алексеевке, пр.Победы, 62Б.
Квартира с косметическим ремонтом. Окна металлопластиковые.
Квартира с мебелью и техникой.
Стиральная машина автомат, холодильник, бойлер.",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,,,,,,тип двору: внутрішній,,немає ліфта,АН Город
3 000,73,Харків,Салтівський,,Студентська,просп. Тракторобудівників,87,,35.0,18.0,6.0,8,9,1,панель,13,0,,50.014783,36.354183,2024-05-29,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-traktorostroiteley-prospekt-31623051.html,"Сдам 1 ком. кв возле Класса, метро Студенческая 15-20 мин пешком. Рядом вся инфраструктура- рынок, три супермаркета, магазины, остановки транспорта.
    Квартира в хорошем состоянии, аккуратная, есть раскладной диван, стол, шкафы, дополнительные места хранения в прихожей. Металлопластиковые окна, чистый застекленный балкон. Проведен интернет, есть холодильник, СМА, пылесос, в доме проведен ГАЗ, печь газовая, что немаловажно сейчас.
Оплата  3000грн в месяц и коммунальные.",1,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,1979.0,1,Комісія за послуги 50 %,панелей,централізоване,централізований,суміжний санвузол,Wi-Fi|телевізор|обідня зона|пральна машина|ванна|газова плита|шафа-гардероб|диван|холодильник|лічильник на електрику|письмовий стіл|пилосос|кабельне ТБ,тип двору: внутрішній,балкон/лоджія,пасажирський ліфт,АН Контракт-Нерухомість
2 000,48,Харків,Салтівський,,Студентська,вул. Валентинівська,38А,,34.0,17.0,6.0,9,9,1,панель,8,0,2.0,50.009014,36.351203,2024-05-29,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-aleninovkaya-lia-26650268.html,"Однокімнатна квартира, тихий спальний район. Дружні сусіди. В квартирі є 2 односпальних ліжка, постільна білизна, шкаф доя одягу, сервант з красивим посудом. Є пральна машина та 2 холодильники. У кухні зроблений косметичний ремонт, пофарбована підлога по всій квартирі. Повністю замінені труби водопостачання. Квартира у гарному стані, відсутні будь-які сторонні запахи. Зручне розташування будинку: поруч є базар та супермаркет, велика кількість транспортних маршрутів поруч.",1,0,0,0,0,0,1,0,0,0,0,Пропозиція від власника,1000.0,300.0,1989.0,1,0,панелей,централізоване,централізований,засклених лоджій: 1|кількість спалень: 1|роздільний санвузол,Wi-Fi|обідня зона|праска|пральна машина|ванна|газова плита|духова шафа|Вбудована кухня|диван|холодильник|лічильник на електрику|лічильник на газ|лічильник на воду|додаткові меблі за домовленістю|ліжко,тип двору: внутрішній,балкон/лоджія,пасажирський ліфт|немає ліфта,
